noise_fraction,n_basis,n_seed_pairs,validation_observed_nrmse_mean,validation_observed_nrmse_std_between_seeds,validation_observed_nrmse_sem_between_seeds,test_hidden_nrmse_3d_mean,test_hidden_nrmse_3d_std_between_seeds,test_latent_nrmse_radial_mean,test_hidden_nrmse_tangential_mean,effective_degrees_of_freedom_mean,within_basis_selector_agreement_mean
0.05,259,5,0.31433969393178274,0.01024494921158985,0.004581680572629556,0.5966058740998244,0.02217004394030141,0.31884454025877906,0.7415221325538237,238.8031392444991,0.8333333333333334
0.05,387,5,0.2705062330808897,0.012641251036143566,0.005653339327491333,0.5757785622775221,0.02542982397187167,0.2718875319772187,0.7266687601965656,343.870820642598,0.7833333333333333
0.05,514,5,0.23875574538633387,0.010361704724346851,0.004633895225284055,0.5592547424807207,0.04430256648169115,0.23383164084769814,0.7138720401894019,455.08644673351546,0.6166666666666666
0.05,643,5,0.21151670350187715,0.010955968714229623,0.004899658160875681,0.5381008403235648,0.05449594713203209,0.2050179396634925,0.6916902725759668,562.9590400708578,0.55
0.05,771,5,0.19144326082790192,0.009433706014167499,0.004218881585485424,0.5309837115742139,0.05762841310056378,0.1790119025059139,0.6877909994684761,688.1113380176114,0.4
0.05,899,5,0.17799459206606888,0.0036861103510241466,0.0016484786634911206,0.5387944245987601,0.037213169254230245,0.16274154505967542,0.7011472887881754,849.1216681488756,0.16666666666666669
0.05,1027,5,0.16504928440529285,0.0039084871550335845,0.0017479285935679708,0.5269493393589046,0.01742703046947839,0.14782331781997662,0.6875270741989638,995.1598764909995,0.06666666666666667
0.05,1283,5,0.151685917239783,0.007442353429121713,0.0033283216360189623,0.5157383931281093,0.02658181154564421,0.14260217212939322,0.672811393757429,1189.6964801981374,0.15
0.05,1539,5,0.14588689374844985,0.006785744649393234,0.00303467726279975,0.5027031776946618,0.01668705090063039,0.13559328934462808,0.6566774131565313,1315.6249117948805,0.2833333333333333
0.05,1795,5,0.14487356538851254,0.006725097905221933,0.003007555214283536,0.4762124845535151,0.025588834364764973,0.13129412840141397,0.6218583532242408,1219.5545548883329,0.6166666666666666
0.05,2050,5,0.1446283014164549,0.006712333853070686,0.0030018469566278276,0.46416260990525104,0.021787278070900768,0.1306005334055845,0.6055625647608729,1126.282440255501,0.8166666666666668
